startdate,employeeID,biweeklyhours,hourlyRate,Ename,supID
2022-11-13 16:25:43,47,18,67,jleprovest1a@bloglines.com,19
2023-01-16 16:32:18,48,34,32,cblasoni1b@privacy.gov.au,65
2022-05-16 18:52:00,49,37,89,aantonutti1c@ox.ac.uk,61
2022-09-06 01:18:02,50,24,17,nwoolfenden1d@utexas.edu,42
2022-11-03 20:17:24,51,30,39,shuddlestone1e@elegantthemes.com,99
2023-03-08 21:26:09,52,12,46,sheardman1f@blogspot.com,82
2023-03-30 20:16:56,53,16,77,abohea1g@myspace.com,37
2022-09-07 07:30:14,54,28,73,ldurrance1h@nifty.com,72
2022-06-22 20:37:05,55,12,58,ghannen1i@china.com.cn,46
2023-03-24 09:43:08,56,15,51,vgarrigan1j@ehow.com,48
2022-06-12 09:03:59,57,33,50,hrosander1k@vinaora.com,41
2022-08-09 14:40:31,58,18,93,ttomaszczyk1l@tinyurl.com,83
2022-05-09 17:28:49,59,19,98,jdobbinson1m@de.vu,29
2022-11-19 15:16:41,60,35,41,dbeeson1n@vk.com,26
2022-06-07 09:54:41,61,34,35,fmerigeau1o@spotify.com,60
2023-03-22 13:55:56,62,11,32,lranken1p@sina.com.cn,33
2022-08-04 16:24:34,63,31,30,qhubert1q@domainmarket.com,31
2023-02-20 10:45:36,64,23,71,hmarkwell1r@columbia.edu,7
2022-05-20 21:20:15,65,19,27,gswinfen1s@ehow.com,56
2022-06-22 16:43:33,66,33,60,ayendall1t@google.fr,94
2023-01-14 11:28:24,67,34,60,ftatersale1u@sbwire.com,28
2022-10-16 05:29:46,68,28,47,rlorrie1v@myspace.com,21
2023-01-21 02:07:47,69,38,21,ajaukovic1w@walmart.com,9
2022-07-04 14:45:24,70,22,47,hmckeag1x@delicious.com,12
2022-04-29 03:02:07,71,28,39,mridder1y@aol.com,77
2023-03-27 23:36:37,72,27,18,rruppelin1z@privacy.gov.au,65
2022-04-19 08:57:30,73,26,33,aharrisson20@disqus.com,78
2023-03-14 09:47:25,74,24,50,kkellick21@comcast.net,58
2022-10-17 22:04:54,75,21,25,kallwright22@webmd.com,6
2022-12-28 05:49:28,76,16,97,gromushkin23@chronoengine.com,95
2022-06-13 13:00:40,77,33,99,mdoring24@t-online.de,74
2022-06-25 19:26:12,78,23,49,amackibbon25@who.int,69
2023-03-06 22:10:01,79,19,66,wjaquiss26@ed.gov,59
2022-11-12 03:40:15,80,27,77,kdomingues27@blogspot.com,57
2022-06-29 23:56:32,81,22,68,lemsley28@scientificamerican.com,60
2022-08-05 00:11:04,82,34,98,glukash29@pbs.org,60
2022-10-27 05:00:55,83,18,76,dlowensohn2a@netlog.com,40
2022-10-21 08:03:03,84,10,78,aknighton2b@yellowpages.com,25
2022-06-12 02:47:41,85,21,79,rpeeters2c@hibu.com,49
2022-04-23 11:00:02,86,26,94,dclark2d@stumbleupon.com,66
2022-05-16 20:44:03,87,11,61,sgave2e@msu.edu,82
2022-12-29 07:16:45,88,27,89,sfortesquieu2f@google.ca,47
2022-06-19 06:17:18,89,36,54,zhakking2g@admin.ch,3
2022-08-25 06:36:47,90,14,96,beckhard2h@xing.com,81
2022-08-25 14:12:18,91,40,60,hmishaw2i@sogou.com,43
2023-02-26 18:27:58,92,37,30,tcanner2j@washingtonpost.com,94
2022-08-27 11:05:20,93,38,54,fcrank2k@hhs.gov,24
2023-02-02 03:59:41,94,24,57,eheads2l@hp.com,92
2022-08-07 18:16:20,95,12,61,rwright2m@elegantthemes.com,100
2022-12-27 08:03:10,96,10,61,bmonshall2n@cnet.com,52
2023-03-18 11:18:56,97,12,83,dundrell2o@exblog.jp,74
2022-10-15 15:07:02,98,38,61,tmcneillie2p@businessweek.com,7
2022-11-13 21:52:01,99,27,18,lmcimmie2q@jugem.jp,44
2022-07-14 22:50:27,100,35,55,mjohnstone2r@skype.com,81
