trainerID,rate,specialty,TrainerName
108,52.54,pede,Ced MacIntosh
109,239.8,id,Kania Holsey
110,99.69,luctus,Pearle Dewdney
111,169.93,molestie,Benoite Jimson
112,112.37,pede,Riane Arthurs
113,284.64,donec,Randene Duro
114,425.74,sit,Vasili Hayer
115,304.2,sodales,Mollee Craven
116,287.6,quam,Florie Allkins
117,327.27,donec,Sallyann Gilpillan
118,312.15,euismod,Anastasie McGonigle
119,158.33,bibendum,Tamas Cran
120,199.64,ut,Neils Ceillier
121,379.76,maecenas,Rouvin Ingles
122,455.57,placerat,Nerte Farrand
123,380.97,quisque,Constance Cavaney
124,287.83,at,Kelwin Woodage
125,131.0,eu,Abbey Trundler
126,415.75,feugiat,Bettine Olenchenko
127,343.94,nulla,Appolonia Dumbrill
128,382.66,primis,Vernon Bothe
129,417.59,luctus,Nolly Bleything
130,368.85,ligula,Arty Gooden
131,253.14,lobortis,Irwinn Benasik
132,470.38,vestibulum,Rick Rendbaek
133,271.95,massa,Sanford Bruck
134,327.93,platea,Carrissa Abramovic
135,417.39,justo,Ailis Leroux
136,328.96,pede,Conrad Waplinton
137,360.4,pretium,Mildred Tomadoni
138,118.82,sed,Jennee Trowsdale
139,99.34,natoque,Arlyne Drain
140,191.42,mollis,Templeton Clemintoni
141,464.13,eget,Lilllie Baseggio
142,307.79,accumsan,Shaylynn Lambal
143,385.94,platea,Louella Twinbrow
144,183.2,adipiscing,Shermie Djorvic
145,66.62,eu,Levon Marfell
146,495.21,mauris,Prudi Isham
147,461.17,libero,Sibella Taffrey
148,438.66,pellentesque,Deane Gatrell
149,300.19,sit,Jodi Matyas
150,107.6,habitasse,Fancy Ennals
151,113.53,rhoncus,Frederick Haygreen
152,431.8,non,Torrence Grubbe
153,219.21,mauris,Casper Gaylard
154,499.08,quisque,Cinderella Fearney
155,96.72,quisque,Zuzana Davio
156,339.83,etiam,Michele Andrews
157,284.92,congue,Adamo Meates
158,494.37,vel,Norris Duffit
159,391.38,quam,Ardelis Skace
160,458.35,interdum,Candra Grigore
161,338.46,felis,Vanna Dingsdale
162,384.94,pede,Devonna Tomaskov
163,142.3,et,Ericka Reynold
164,370.23,velit,Mal Nineham
165,428.8,ultrices,Renato Godar
166,92.49,vulputate,Regan Duthy
167,360.57,nunc,Wallache Feeney
168,463.74,vivamus,Kelli Gaddie
169,309.65,in,Hendrik Shatliff
170,193.05,pretium,Haily Gasnell
171,310.15,aliquam,Odell Hedditeh
172,99.39,posuere,Gaye Cotte
173,107.65,metus,Desiri Thrussell
174,226.64,justo,Ginelle Fessby
175,303.79,leo,Alyda Jellicorse
176,357.31,elit,Brietta Catherine
177,327.6,primis,Tomi Thomkins
178,254.62,lectus,Emera Northcliffe
179,308.2,ante,Sheilah Rosell
180,226.22,id,Constanta Tampion
181,374.51,blandit,Demetri Norridge
182,325.6,mattis,Rodolphe Hame
183,346.8,donec,Gonzalo Measey
184,198.33,id,Alfonso Enevold
185,411.53,enim,Bogey Mathey
186,132.25,pharetra,Alejandrina Crawforth
187,473.04,diam,Deeann Sharpless
188,133.83,maecenas,Rochell Rivaland
189,453.67,ultrices,Gillie Alfonso
190,247.5,faucibus,Dex Megahey
191,457.38,in,Kim Humber
192,327.89,eleifend,Ynez Hebborne
193,218.47,interdum,Lynette Aplin
194,67.94,vulputate,Bethena Degli Abbati
195,122.76,pellentesque,Bone McCahey
196,309.57,porta,Mill Christian
197,443.38,nunc,Frederic Moizer
198,284.82,pede,Genni Pena
199,98.85,odio,Myrwyn Twist
200,239.42,ligula,Candy Dillon
201,169.75,est,Aubine Pheasant
202,470.46,lacus,Allie Anneslie
203,336.08,cubilia,Sigismundo Dessant
204,101.68,aliquet,Shandeigh Lukins
205,151.66,dignissim,Willamina Matelaitis
206,126.41,odio,Dawna Hargrove
207,340.82,hendrerit,Helli Trimble
208,219.58,dui,Elijah Pearmine
209,273.75,sagittis,Susanne Ibell
210,338.16,dapibus,Lorianna Brissenden
211,412.93,luctus,Nicola Aslen
212,402.5,enim,Brnaby MacDonagh
213,478.02,mattis,Packston Amdohr
214,212.95,sit,Billy Dumblton
215,373.07,nascetur,Lowe Francillo
216,448.72,a,Rahal Choldcroft
217,126.03,at,Sarene Pikhno
218,326.44,venenatis,Sinclair Bollom
219,379.19,ante,Edie Sowerbutts
220,289.65,purus,Wandie Immings
221,443.2,elementum,Hayyim Gerrad
222,95.62,bibendum,Terrye Gravett
223,207.15,in,Joe Hamley
224,366.83,nibh,Cyndi Baggaley
225,139.07,montes,Sacha Petrillo
226,324.64,blandit,Katey Mazillius
227,70.45,id,Kale Aulton
228,361.79,parturient,Nefen Ondrus
229,107.43,penatibus,Kleon Pennington
230,341.95,vulputate,Kev Hutt
231,263.63,convallis,Reinaldos Rewbottom
232,108.62,est,Quincy Horstead
233,167.18,dictumst,Dela Spendlove
234,177.55,tempor,Latisha Cruess
235,246.2,sapien,Bevon Golden
236,487.25,odio,Connie McMearty
237,113.39,nisl,Murry Lorentzen
238,142.99,lectus,Nickolas Lazar
239,145.55,proin,Waylen Cunradi
240,483.99,viverra,Westley Palleske
241,492.91,vestibulum,Chancey Ellingford
242,482.87,est,Welby Haxbie
243,209.82,at,Brit Warke
244,89.85,varius,Nesta Vasechkin
245,391.02,ac,Granger Shipsey
246,411.76,erat,Evita Titterrell
247,385.7,sit,Kaspar Drewe
248,85.13,in,Ase Skipworth
249,110.89,est,Ly Linklater
250,414.05,consequat,Terrance Davern
251,162.07,ultrices,Binnie Skillen
252,333.18,elementum,Sim Cato
253,233.37,vitae,Susy Pentelo
254,216.84,aenean,Erwin Riggulsford
255,406.46,amet,Gallard Iddiens
256,197.13,lacinia,Nicole Sydall
257,439.38,suscipit,Melamie Browell
258,391.71,scelerisque,Felicle Bygott
259,222.53,mattis,Bobbee MacKettrick
260,311.49,sed,Etan Blewmen
261,337.55,habitasse,Bartholomeus Kittles
262,452.59,pede,Ellissa Fenech
263,340.54,condimentum,Elinor Sillick
264,122.53,sapien,Marissa Nuzzetti
265,158.46,magna,Shannah Bazek
266,176.45,sed,Gillian Breslauer
267,146.02,purus,Ede Glabach
268,406.71,quis,Kare Cockin
269,303.2,libero,Darnell Glenton
270,341.06,nulla,Delainey Morsey
271,392.56,ipsum,Elyn Blackbourn
272,473.68,mauris,Patrizius Gierth
273,235.42,facilisi,Pasquale Tenbrug
274,227.64,magna,Dru Wedderburn
275,164.94,lobortis,Hy Balcombe
276,494.69,at,Arleyne Casperri
277,386.75,massa,Shaylyn Kingsnoad
278,433.79,sociis,Isobel Jery
279,214.1,risus,Patin Fordyce
280,434.18,est,Frannie Rispin
281,158.65,eget,Gabey Jerrolt
282,63.44,id,Marcellus Bowry
283,339.23,tempus,Rriocard Summerfield
284,63.39,adipiscing,Arlene Galgey
285,137.25,eu,Terese Whitham
286,137.53,vivamus,Larissa Haythorn
287,330.23,in,Jeffy Askwith
288,324.63,lacus,Faye Bezemer
289,262.62,non,Shina Gooke
290,264.07,nibh,Shamus Baxstar
291,388.72,justo,Maria Yoselevitch
292,98.54,in,Leanor Stonham
293,363.3,condimentum,Sabrina Eke
294,486.18,libero,Nial Eakle
295,221.44,diam,Georgeanne Gabala
296,157.81,cubilia,Abeu Glashby
297,183.98,sit,Crystal Gruszczak
298,419.65,sit,Worthington Kisbey
299,216.05,donec,Marlowe Fenn
300,468.18,natoque,Janel Craighill
301,311.24,ut,Ingunna Kirmond
302,447.5,vulputate,Grenville Heckle
303,299.15,luctus,Berri Tremolieres
304,99.69,at,Sigismondo O'Murtagh
305,265.09,sollicitudin,Roxi Terris
306,304.46,proin,Dixie Gillicuddy
307,491.78,ac,Iggie Duprey
308,385.06,vivamus,Toiboid Adamski
309,199.79,vitae,Hannah Setchfield
310,330.24,lacinia,Zedekiah Wedderburn
311,234.61,in,Mahala Weightman
312,263.99,vestibulum,Duffy Oxnam
313,453.16,ipsum,Joel Kauschke
314,88.47,leo,Jacqui Varley
315,61.12,vulputate,Livia Ciardo
316,417.13,nam,Karilynn Bletcher
317,135.65,donec,Jennifer Lambert-Ciorwyn
318,159.91,in,Jess Duberry
319,479.9,egestas,Edouard Wheeliker
320,471.92,posuere,Annecorinne Horbath
321,175.99,massa,Mellisa MacQueen
322,375.94,donec,Mimi Proughten
323,65.88,nonummy,Persis Petruk
324,146.85,quam,Cherilynn Redan
325,151.54,justo,Sabrina Foster
326,297.3,luctus,Aili Cater
327,386.08,sit,Arlana Zmitrovich
328,132.07,quam,Iain Sabberton
329,370.99,dolor,Malvin Bertl
330,215.52,justo,Von Kleinschmidt
331,204.67,tempus,Alena McCarver
332,109.57,massa,Warner Biagioni
333,125.73,sed,Coraline Masedon
334,104.76,massa,Shir Lyste
335,393.37,nunc,Sandi Mordecai
336,323.01,suscipit,Denny Motto
337,333.63,feugiat,Camel Flounders
338,175.87,augue,Emogene Upjohn
339,471.86,cubilia,Madeline Dyott
340,180.44,neque,Brina Mattheissen
341,418.33,adipiscing,Alvis Dummigan
342,135.26,aliquet,Lisbeth Betz
343,417.41,mattis,Martita Hallihan
344,92.4,ut,Camile Ropcke
345,407.7,sem,Asa Pavyer
346,111.75,sem,Matteo Bickerton
347,392.71,pede,Gwyn Matchett
348,223.86,tempus,Dionne Quye
349,452.03,amet,Alexei Lidgard
350,451.73,vulputate,Inga Barnson
351,117.71,aliquam,Antony Eskell
352,343.03,metus,Dell Durnell
353,247.18,sollicitudin,Daphne Patient
354,454.89,at,Pier Geaves
355,204.08,et,Gianna Baldock
356,295.79,luctus,Carie Bunhill
357,175.02,quisque,Camilla Rowswell
358,477.04,ac,Jdavie Vanni
359,316.94,eu,Krystyna Wasiel
360,97.68,sed,Damian Crass
361,440.76,magna,Corena MacCahey
362,424.23,maecenas,Jacquetta Rowbotham
363,442.06,mattis,Kathie Trowler
364,209.23,donec,Angel Lawrey
365,263.22,fermentum,Max Groocock
366,67.33,mauris,Nat O' Scallan
367,154.64,consectetuer,Lilias Wrixon
368,136.82,vivamus,Kania Sandercock
369,349.59,posuere,Mariejeanne Raccio
370,57.46,lacus,Rafi Samways
371,264.35,odio,Meriel Azemar
372,309.24,erat,Randene Trevithick
373,245.21,duis,Darleen Rosenblath
374,254.3,justo,Towney Duiged
375,52.87,purus,Carmina Urch
376,484.11,duis,Vick Pepall
377,341.18,sit,Bruis Biggar
378,252.13,non,Kipp Garvagh
379,359.64,pellentesque,Melody Binnes
380,324.62,accumsan,Corney Thickens
381,491.21,erat,Babbie Graben
382,297.72,vitae,Leslie Dranfield
383,264.63,magnis,Giacopo Eschalette
384,414.21,odio,Fitzgerald Kitchenham
385,426.45,sem,Amble Wooler
386,315.11,sed,Padgett Spillard
387,249.58,non,Tommy Leafe
388,440.12,nisl,Elladine Cutsforth
389,488.66,imperdiet,Amii Hammelberg
390,128.08,ultrices,Gretna Rohlf
391,143.45,nisi,Keenan Easseby
392,482.72,nulla,Domenico Legister
393,174.14,turpis,Stanislaus Vevers
394,362.44,est,Hernando Baldree
395,272.3,gravida,Janos Trevain
396,476.24,erat,Amii Kinmond
397,137.13,nulla,Donia Gashion
398,470.8,rhoncus,Marlyn Kilshaw
399,102.2,erat,Cati Erb
400,170.63,nullam,Tremaine Kuzma
401,323.95,at,Lynde Chestle
402,430.98,sit,Roosevelt Hensmans
403,115.23,metus,Farrah Leadbitter
404,339.39,dictumst,Lyndsay Langrick
405,441.14,mattis,Web Ingold
406,154.64,sit,Shep Sirmon
407,380.92,nibh,Loree Breming
408,161.42,non,Talyah Copplestone
409,119.62,ornare,Kurt Chafney
410,182.27,ipsum,Nataline Tenby
411,173.97,vehicula,Arlene Eliez
412,214.19,lobortis,Natassia Schenfisch
413,271.42,duis,Keenan Klemz
414,394.98,venenatis,Melesa Pennini
415,180.54,sit,Mabel Cowdray
416,432.42,donec,Omar Marking
417,353.24,luctus,Wendeline Jonk
418,374.98,ut,Alice Boncoeur
419,220.2,a,Pierrette O' Connell
420,260.91,amet,Ariadne Cabbell
421,134.72,suspendisse,Thorin Bachelor
422,265.24,ipsum,Paulie Elgy
423,63.49,aliquam,Elbertine Blanchard
424,325.21,nulla,Bertram Panons
425,54.3,in,Vance Beadnall
426,299.13,odio,Guglielma Purple
427,278.67,sagittis,Jorge Laterza
428,464.19,et,Chrotoem Pardon
429,296.36,tortor,Giulia Cowp
430,359.93,platea,Brenna Jaycock
431,300.08,in,Hashim Vasilic
432,225.05,nisi,Eada Mattes
433,350.18,justo,Westleigh Raubenheimers
434,358.32,sodales,Annalise Everley
435,61.25,pede,Johny Tremayle
436,210.49,hac,Terrence Norcliff
437,390.55,potenti,Lyndell Dethloff
438,99.39,volutpat,Portia Bridell
439,216.78,amet,Rosabelle Bonner
440,100.27,placerat,Welsh Gorling
441,398.7,non,Tobey Wolstencroft
442,407.52,lobortis,Lorrie Batson
443,346.4,at,Neddie Braidwood
444,248.52,justo,Gerri Dunbobbin
445,428.26,tempus,Ethyl Seifert
446,447.43,proin,Berne Beamish
447,449.43,id,Valerye Going
448,496.27,eu,Deerdre Olyff
449,166.06,nonummy,Salome Wernham
450,227.31,venenatis,Ashli Renton
451,163.36,sociis,Ashla Rosson
452,340.87,pulvinar,Kay Simonian
453,422.56,sit,Miguel Birtle
454,267.68,sapien,Chrisse Lidbetter
455,328.49,est,Glennis Howse
456,353.01,nisl,Cullan Shipcott
457,60.14,aliquam,Pavlov Cessford
458,441.27,nibh,Teodoro Zamorano
459,195.2,adipiscing,Ardyth Nestle
460,185.7,sociis,Lauralee Charlewood
461,158.52,suspendisse,Belinda Gotfrey
462,151.19,eu,Ninetta Whalebelly
463,265.75,pharetra,Alessandro Triggol
464,375.1,vel,Elspeth Hatry
465,350.05,ut,Vanessa Roderick
466,421.21,id,Clari Phil
467,274.83,odio,Donetta Schankel
468,286.37,nulla,Emmaline O'Hingerty
469,341.91,vestibulum,Ole Slimme
470,180.2,dis,Tina Ziemecki
471,462.25,lacinia,Myrle Kilgallon
472,479.89,ut,Hugibert Nairns
473,299.76,justo,Duffy Mullins
474,224.84,vestibulum,Claude Robillart
475,202.48,pede,Xylina Chittock
476,456.63,nulla,Harriot Williment
477,114.67,nunc,Katinka Hanby
478,415.85,at,Alexandra Garfirth
479,174.9,in,Ab Cusick
480,153.68,in,Fionnula Bertholin
481,355.51,ipsum,Lorianne Hughes
482,286.08,penatibus,Giraud Lanceley
483,115.32,nullam,Ellette Eltone
484,53.71,nulla,Sandor Peasegod
485,204.59,libero,Anjanette Shewan
486,423.22,cras,Barnett Calliss
487,286.63,ligula,Audre Sawl
488,403.17,ligula,Lev Rossi
489,221.67,pellentesque,Clara McAusland
490,483.23,consequat,Vicky Youhill
491,470.8,nisi,Mervin Harmond
492,102.84,in,Madelle Youtead
493,135.23,leo,Kerk Dewsbury
494,199.94,sit,Nathan Mitchely
495,465.0,pede,Dietrich Southernwood
496,301.7,hac,Spencer Gorman
497,108.17,consequat,North Lafflina
498,123.64,posuere,Dolph Langsbury
499,51.33,porta,Joelle Ethington
500,458.24,penatibus,Hadley Paine
